id	rope_id	rope	card_id	card	title	description
1	1	하늘이 내린 새로운 동아줄	1	탐나는 떡	달콤한 기회의 값	마음이 끌리는 새로운 제안이나 기회가 찾아올 수 있습니다. 좋아 보인다는 이유로 바로 잡기보다, 그 선택을 위해 감당해야 할 조건과 대가를 먼저 확인하세요.
2	1	하늘이 내린 새로운 동아줄	2	끝없는 고개	바뀐 흐름에 올라탈 때	예상하지 못한 변화가 새로운 기회로 이어질 수 있습니다. 익숙한 방식만 고집하기보다 흐름이 바뀌는 순간을 알아차리고 새로운 방향에 유연하게 올라타세요.
3	1	하늘이 내린 새로운 동아줄	3	의심의 문	기회 너머에 숨은 것	새로운 제안이나 만남이 찾아오지만 아직 모든 조건이 드러난 것은 아닙니다. 서둘러 문을 열기보다 마음에 걸리는 부분과 말하지 않은 조건이 없는지 차분히 살펴보세요.
4	1	하늘이 내린 새로운 동아줄	4	드러난 발톱	기회 앞에 드러난 모습	새로운 역할이나 관계에서 당신의 숨겨진 능력이 드러날 수 있습니다. 자신을 보여주는 것은 좋지만, 순간적인 감정까지 그대로 드러내지 않도록 조절해야 합니다.
5	1	하늘이 내린 새로운 동아줄	5	올려다본 나무	시작하기 전에 바라볼 것	새로운 방향이 보이더라도 먼저 혼자 생각을 정리할 시간이 필요할 수 있습니다. 주변의 기대에 끌려가기보다 자신이 정말 원하는 것이 무엇인지 돌아본 뒤 첫걸음을 정하세요.
6	1	하늘이 내린 새로운 동아줄	6	길을 낸 도끼	기회를 길로 만드는 힘	새로운 가능성을 현실로 만들 수 있는 도구와 능력이 이미 당신에게 있습니다. 완벽한 준비를 기다리기보다 지금 가진 것을 활용해 작은 행동부터 시작하세요.
7	1	하늘이 내린 새로운 동아줄	7	하늘의 응답	바라던 기회의 도착	기다려 온 소식이나 다시 희망을 품게 하는 기회가 찾아올 수 있습니다. 좋은 가능성을 믿되 기대만으로 끝내지 말고, 닿고 싶은 곳을 향해 꾸준히 손을 뻗으세요.
8	1	하늘이 내린 새로운 동아줄	8	불안한 응답	흔들림 속에서 열린 길	갑작스러운 변화로 기존 계획이 흔들리지만 그 틈에서 새로운 기회가 열릴 수 있습니다. 무너진 것을 급히 되돌리기보다 지금 드러난 문제를 확인하고 더 단단한 방향으로 다시 시작하세요.
9	1	하늘이 내린 새로운 동아줄	9	끝의 순간	끝에서 건너온 기회	익숙한 일이나 관계가 마무리되면서 새로운 단계로 넘어갈 기회가 생깁니다. 끝난 것을 억지로 붙잡기보다 놓아야 할 것을 정리하고 다가오는 변화를 받아들이세요.
10	1	하늘이 내린 새로운 동아줄	10	선택의 흔적	선택이 만드는 새 출발	새로운 제안 앞에서 어떤 선택을 하느냐에 따라 앞으로의 흐름이 달라질 수 있습니다. 당장의 이익만 보기보다 그 선택이 가져올 책임과 결과까지 충분히 따져보세요.
